,Владение1,Владение2,Удары по воротам1,Удары по воротам2,Удары в створ1,Удары в створ2,Удары мимо1,Удары мимо2,Фолы1,Фолы2,Угловые удары1,Угловые удары2,Штрафные удары1,Штрафные удары2,Вне игры1,Вне игры2,Команда1,Команда2,Голы1,Голы2,Результат
0,36,64,8,18,3,4,5,14,12,8,2,5,7,12,1,1,Брентфорд , Арсенал,2,0,1
1,49,51,13,9,8,3,5,6,11,9,5,4,9,10,2,3,Манчестер Юнайтед , Лидс,5,1,1
2,36,64,11,12,3,8,8,4,10,7,7,6,7,10,1,0,Бернли , Брайтон,1,2,2
3,61,39,11,3,6,1,5,2,15,11,5,2,11,14,0,1,Челси , Кристал Пэлас,3,0,1
4,38,62,11,8,7,2,4,6,18,13,2,4,13,18,0,2,Уотфорд , Астон Вилла,3,2,1
5,49,51,11,4,6,3,5,1,13,15,6,8,14,11,0,0,Эвертон , Саутгемптон,3,1,1
6,56,44,8,10,5,3,3,7,6,10,5,4,10,6,5,4,Лестер , Вулверхэмптон,1,0,1
7,50,50,11,15,3,8,8,7,4,14,3,11,14,3,2,0,Норвич , Ливерпуль,0,3,2
8,47,53,10,13,3,9,7,4,4,3,7,6,3,4,1,2,Ньюкасл , Вест Хэм,2,4,2
9,35,65,8,13,3,4,5,9,11,8,3,11,8,11,3,1,Тоттенхэм , Манчестер Сити,1,0,1
10,66,34,19,8,9,3,10,5,6,12,8,4,12,6,3,7,Ливерпуль , Бернли,2,0,1
11,48,52,9,8,2,1,7,7,8,18,3,4,16,8,3,2,Астон Вилла , Ньюкасл,2,0,1
12,52,48,7,10,2,3,5,7,12,9,3,5,8,10,1,2,Кристал Пэлас , Брентфорд,0,0,0
13,70,30,10,13,4,8,6,5,6,13,8,5,12,6,0,0,Лидс , Эвертон,2,2,0
14,66,34,10,1,4,0,6,1,13,7,6,1,6,13,2,3,Манчестер Сити , Норвич,5,0,1
15,56,44,8,6,3,1,5,5,11,6,7,2,6,11,1,1,Брайтон , Уотфорд,2,0,1
16,37,63,7,11,3,4,4,7,12,10,7,7,10,12,0,2,Саутгемптон , Манчестер Юнайтед,1,1,0
17,57,43,15,6,6,6,9,0,9,7,5,4,7,9,2,0,Вулверхэмптон , Тоттенхэм,0,1,2
18,35,65,5,11,3,5,2,6,10,4,9,8,3,10,5,0,Арсенал , Челси,0,2,2
19,51,49,17,3,7,1,10,2,8,8,10,0,8,8,2,0,Вест Хэм , Лестер,4,1,1
20,80,20,15,1,10,0,5,1,5,7,14,0,7,5,1,3,Манчестер Сити , Арсенал,5,0,1
21,46,54,7,5,4,2,3,3,10,7,5,3,5,10,1,2,Вест Хэм , Кристал Пэлас,2,2,0
22,47,53,7,4,5,2,2,2,15,14,3,2,13,14,1,2,Астон Вилла , Брентфорд,1,1,0
23,65,35,8,9,3,5,5,4,7,9,4,5,8,7,1,0,Брайтон , Эвертон,0,2,2
24,37,63,10,13,5,6,5,7,11,6,4,4,5,10,5,0,Ньюкасл , Саутгемптон,2,2,0
25,45,55,10,8,4,3,6,5,8,9,9,9,9,7,2,2,Норвич , Лестер,1,2,2
26,65,35,19,4,7,3,12,1,13,4,12,3,3,12,0,2,Ливерпуль , Челси,1,1,0
27,36,64,8,7,3,2,5,5,13,9,5,5,9,12,2,2,Бернли , Лидс,1,1,0
28,57,43,12,6,8,2,4,4,8,14,10,3,14,8,2,1,Тоттенхэм , Уотфорд,1,0,1
29,45,55,12,8,6,3,6,5,7,9,5,7,9,7,5,4,Вулверхэмптон , Манчестер Юнайтед,0,1,2
30,62,38,11,2,4,1,7,1,13,15,8,2,11,13,0,0,Кристал Пэлас , Тоттенхэм,3,0,1
31,44,56,6,11,2,5,4,6,15,13,6,8,13,13,1,2,Уотфорд , Вулверхэмптон,0,2,2
32,40,60,4,15,1,8,3,7,4,11,5,8,10,4,2,4,Лестер , Манчестер Сити,0,1,2
33,42,58,8,6,3,3,5,3,10,12,5,4,12,10,0,2,Саутгемптон , Вест Хэм,0,0,0
34,64,36,16,9,7,3,9,6,9,2,7,3,2,9,1,3,Манчестер Юнайтед , Ньюкасл,4,1,1
35,51,49,20,4,7,1,13,3,9,11,8,4,11,9,2,0,Арсенал , Норвич,1,0,1
36,42,58,7,3,1,2,6,1,9,12,1,6,12,9,0,2,Брентфорд , Брайтон,0,1,2
37,56,44,10,9,4,6,6,3,11,11,4,11,10,11,2,1,Челси , Астон Вилла,3,0,1
38,45,55,8,15,4,9,4,6,9,8,2,11,7,9,2,4,Лидс , Ливерпуль,0,3,2
39,51,49,10,9,6,6,4,3,3,6,4,6,5,3,2,2,Эвертон , Бернли,3,1,1
40,36,64,15,18,7,9,8,9,9,11,4,5,11,9,1,1,Ньюкасл , Лидс,1,1,0
41,61,39,8,8,0,3,8,5,10,7,4,2,6,10,2,2,Вулверхэмптон , Брентфорд,0,2,2
42,59,41,15,7,10,2,5,5,17,11,10,5,9,16,1,3,Ливерпуль , Кристал Пэлас,3,0,1
43,63,37,9,4,1,2,8,2,5,12,8,5,10,5,4,0,Манчестер Сити , Саутгемптон,0,0,0
44,49,51,8,11,5,8,3,3,10,14,4,8,14,9,1,0,Норвич , Уотфорд,1,3,2
45,45,55,13,7,3,3,10,4,9,8,8,3,8,9,4,2,Бернли , Арсенал,0,1,2
46,55,45,9,6,3,1,6,5,7,10,5,4,10,7,0,2,Астон Вилла , Эвертон,3,0,1
47,40,60,9,14,4,10,5,4,5,8,2,11,6,5,2,0,Вест Хэм , Манчестер Юнайтед,1,2,2
48,38,62,9,8,5,3,4,5,8,10,4,9,9,7,3,2,Брайтон , Лестер,2,1,1
49,47,53,6,13,2,10,4,3,4,15,5,11,15,4,0,1,Тоттенхэм , Челси,0,3,2
50,41,59,1,9,0,4,1,5,12,10,4,13,9,12,3,4,Челси , Манчестер Сити,0,1,2
