Unnamed: 0,Владение1,Владение2,Удары по воротам1,Удары по воротам2,Удары в створ1,Удары в створ2,Удары мимо1,Удары мимо2,Фолы1,Фолы2,Угловые удары1,Угловые удары2,Штрафные удары1,Штрафные удары2,Вне игры1,Вне игры2,Команда1,Команда2,Голы1,Голы2,Результат
0,43,57,5,12,3,9,2,3,6,13,1,1,13,6,2,4,Вест Хэм , Манчестер Сити,0,5,2
1,52,48,10,7,3,3,7,4,10,19,3,4,17,9,1,1,Борнмут , Шеффилд Юнайтед,1,1,0
2,47,53,8,8,4,3,4,5,6,12,2,7,11,6,5,1,Бернли , Саутгемптон,3,0,1
3,36,64,2,6,2,3,0,3,16,14,6,2,12,16,4,0,Кристал Пэлас , Эвертон,0,0,0
4,49,51,7,5,3,3,4,2,15,11,5,2,11,14,0,3,Уотфорд , Брайтон,0,3,2
5,70,30,21,6,7,4,14,2,13,9,14,0,9,13,1,0,Тоттенхэм , Астон Вилла,3,1,1
6,39,61,6,6,2,2,4,4,12,7,5,3,7,11,1,3,Ньюкасл , Арсенал,0,1,2
7,70,30,11,6,1,2,10,4,3,13,12,3,11,3,0,1,Лестер , Вулверхэмптон,0,0,0
8,47,53,7,14,5,7,2,7,15,13,3,5,12,15,2,0,Манчестер Юнайтед , Челси,4,0,1
9,67,33,12,14,9,5,3,9,13,11,10,7,9,11,5,1,Арсенал , Бернли,2,1,1
10,37,63,10,12,3,6,7,6,10,6,5,9,4,9,4,1,Саутгемптон , Ливерпуль,1,2,2
11,57,43,13,7,4,3,9,4,11,10,8,6,10,11,2,4,Брайтон , Вест Хэм,1,1,0
12,62,38,16,8,7,4,9,4,10,13,11,5,13,10,5,2,Астон Вилла , Борнмут,1,2,2
13,63,37,11,11,8,4,3,7,9,11,7,5,11,9,2,1,Норвич , Ньюкасл,3,1,1
14,45,55,8,6,2,2,6,4,11,11,4,7,10,11,3,1,Эвертон , Уотфорд,1,0,1
15,55,45,18,3,10,2,8,1,14,4,13,2,4,13,3,1,Манчестер Сити , Тоттенхэм,2,2,0
16,43,57,9,4,3,4,6,0,16,11,8,4,10,16,0,1,Шеффилд Юнайтед , Кристал Пэлас,1,0,1
17,50,50,12,10,5,3,7,7,9,14,4,5,14,9,3,3,Челси , Лестер,1,1,0
18,35,65,5,6,2,2,3,4,17,8,4,6,6,17,1,1,Вулверхэмптон , Манчестер Юнайтед,1,1,0
19,36,64,5,8,3,1,2,7,10,18,0,6,17,10,8,1,Астон Вилла , Эвертон,2,0,1
20,47,53,6,13,5,8,1,5,9,9,1,8,7,8,0,0,Норвич , Челси,2,3,2
21,50,50,5,6,2,2,3,4,11,6,7,4,6,11,1,5,Шеффилд Юнайтед , Лестер,1,2,2
22,54,46,13,14,3,10,10,4,12,11,8,7,11,12,1,2,Уотфорд , Вест Хэм,1,3,2
23,71,29,16,4,3,3,13,1,8,18,8,1,18,7,0,0,Манчестер Юнайтед , Кристал Пэлас,1,2,2
24,50,50,9,9,3,4,6,5,9,10,8,5,10,9,1,0,Брайтон , Саутгемптон,0,2,2
25,52,48,11,7,5,3,6,4,8,5,6,4,4,7,1,4,Ливерпуль , Арсенал,3,1,1
26,27,73,9,9,7,5,2,4,7,13,4,5,13,7,2,4,Борнмут , Манчестер Сити,1,3,2
27,80,20,10,5,2,3,8,2,10,5,6,6,5,10,1,4,Тоттенхэм , Ньюкасл,0,1,2
28,65,35,10,10,2,4,8,6,9,11,4,3,11,9,1,1,Вулверхэмптон , Бернли,1,1,0
29,42,58,7,17,2,8,5,9,17,7,2,3,6,15,0,1,Саутгемптон , Манчестер Юнайтед,1,1,0
30,62,38,10,7,5,2,5,5,6,11,3,4,11,6,2,0,Челси , Шеффилд Юнайтед,2,2,0
31,55,45,11,4,6,2,5,2,9,11,4,5,10,9,2,1,Лестер , Борнмут,3,1,1
32,53,47,14,3,6,2,8,1,10,6,8,1,6,9,1,3,Манчестер Сити , Брайтон,4,0,1
33,52,48,15,5,5,2,10,3,15,16,13,2,15,15,2,0,Кристал Пэлас , Астон Вилла,1,0,1
